"child_id","child_gender","child_age_rounded","age_days","age","condition","counterbalance","attn1","attn2","test","attn3","rachel_false_belief","diana_false_belief","allie_false_belief","mean_fb","num_speakers","coding_experience","smartphone_frequency","smart_speaker_frequency","voice_assistant_frequency","pass_attn1","pass_attn2","pass_attn3","pass_all_attn","chose_song_1","age_months","floor_age","va_daily","ss_daily","multiSSexperience"
NA,NA,NA,2034,5.56878850102669,"AI",3,"spider","wheels","spider",1,0,0,0,0,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)","Several times a day","Never",NA,1,1,1,1,1,66.8705000493145,5,NA,FALSE,TRUE
"AVEH25","f",5460,5078,13.9028062970568,"Person",1,"spider","wheels","spider",1,1,1,1,1,NA,NA,"About once a day","About once a day","About once a day",1,1,1,1,1,166.946115659006,13,TRUE,TRUE,NA
NA,NA,NA,5078,13.9028062970568,"AI",1,"spider","wheels","spider",1,1,1,1,1,1,"no experience with coding","Several times a day","Less than once a week",NA,1,1,1,1,1,166.946115659006,13,NA,FALSE,FALSE
"AZQZZJ","f",3480,3476,9.51676933607118,"Person",3,"spider","wheels","spider",1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a week","Never","Never",1,1,1,1,1,114.278199690962,9,FALSE,FALSE,FALSE
"B47FdD","m",3990,3977,10.8884325804244,"AI",2,"wheels","spider","wheels",1,1,1,1,1,1,"coding class at school","Several times a day","About once a day","Several times a day",1,1,1,1,1,130.749252062991,10,TRUE,TRUE,FALSE
"CPcQFY","f",4470,2523,6.90759753593429,"Person",2,"wheels","spider","wheels",1,1,1,1,1,1,"coding class at school","Several times a day","Several times a day","Several times a day",1,1,1,1,1,82.9470361968636,6,TRUE,TRUE,FALSE
"B7TKT6","f",5040,5042,13.8042436687201,"AI",2,"wheels","spider","wheels",1,1,1,1,1,NA,NA,"About once a week",NA,"About once a week",1,1,1,1,1,165.762566985567,13,FALSE,NA,NA
"BC76CA","m",3780,3776,10.3381245722108,"Person",2,"wheels","spider","wheels",1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a day","Never","Never",1,1,1,1,1,124.141105302956,10,FALSE,FALSE,FALSE
NA,NA,NA,3408,9.3305954825462,"Person",1,"spider","wheels","spider",1,0,0,1,0.333333333333333,0,"no experience with coding","Several times a day",NA,NA,1,1,1,1,1,112.042607752244,9,NA,NA,FALSE
NA,NA,NA,4059,11.1129363449692,"Person",1,"spider","wheels","spider",1,1,1,1,1,NA,NA,"Several times a day",NA,NA,1,1,1,1,1,133.445112930269,11,NA,NA,NA
"BJZGD2","f",3270,3256,8.91444216290212,"AI",4,"wheels","spider","wheels",1,1,1,1,1,NA,"no experience with coding","About once a day",NA,"Several times a day",1,1,1,1,1,107.045402242167,8,TRUE,NA,NA
"BLMEUH","f",1560,1548,4.23819301848049,"AI",2,"wheels","spider","wheels",1,1,1,1,1,NA,NA,"About once a day",NA,"Several times a day",1,1,1,1,1,50.8925929578854,4,TRUE,NA,NA
"BNXB5D","f",2640,2628,7.19507186858316,"AI",4,"wheels","spider","wheels",1,1,1,1,1,0,"no experience with coding","Several times a day",NA,NA,1,1,1,1,1,86.3990531610612,7,NA,NA,FALSE
"BVA42Y","f",1950,1954,5.34976043805613,"Person",4,"wheels","spider","wheels",1,0,0,0,0,1,"no experience with coding","About once a week","About once a week","About once a week",1,1,1,1,1,64.2403918861163,5,FALSE,FALSE,FALSE
"BVZU4W","m",4140,4140,11.3347022587269,"AI",1,"spider","wheels","spider",1,0,0,1,0.333333333333333,0,"no experience with coding","Several times a day",NA,NA,1,1,1,1,1,136.108097445507,11,NA,NA,FALSE
"BZVQUN","f",3840,3852,10.5462012320329,"AI",4,"wheels","spider","wheels",1,1,1,1,1,6,"coding class at school","About once a day","Several times a day","About once a day",1,1,1,1,1,126.639708057994,10,TRUE,TRUE,TRUE
NA,NA,NA,1199,3.28268309377139,"AI",1,"spider","wheels","wheels",1,0,0,0,0,0,"no experience with coding","About once a day",NA,NA,1,1,1,1,0,39.4187460959332,3,NA,NA,FALSE
"C2J3Kd","f",1350,1357,3.71526351813826,"AI",2,"wheels","spider","spider",1,0,0,0,0,0,"no experience with coding","About once a day","Never","Never",1,1,1,1,0,44.6132097182497,3,FALSE,FALSE,FALSE
"C2PTE3","f",1380,1372,3.75633127994524,"AI",4,"wheels","spider","wheels",1,0,0,0,0,NA,NA,"Several times a day",NA,"About once a day",1,1,1,1,1,45.1063549988493,3,TRUE,NA,NA
"c3dQ5P","m",3720,3713,10.1656399726215,"AI",1,"spider","wheels","spider",1,1,1,1,1,5,"after school programs or camps related to coding","Several times a day","Several times a day","Several times a day",1,1,1,1,1,122.069895124437,10,TRUE,TRUE,TRUE
"c53NTX","m",3870,3866,10.5845311430527,"Person",1,"spider","wheels","spider",1,1,1,1,1,5,"coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a day","Several times a day","Several times a day",1,1,1,1,1,127.099976986554,10,TRUE,TRUE,TRUE
NA,NA,NA,4608,12.6160164271047,"Person",1,"spider","wheels","spider",1,0,1,1,0.666666666666667,NA,NA,"About once a day","Less than once a week",NA,1,1,1,1,1,151.494230200217,12,NA,FALSE,NA
NA,NA,NA,4608,12.6160164271047,"AI",3,"spider","wheels","spider",1,0,0,1,0.333333333333333,1,"no experience with coding","About once a week","Several times a day",NA,1,1,1,1,1,151.494230200217,12,NA,TRUE,FALSE
NA,NA,NA,2895,7.92607802874743,"AI",1,"spider","wheels","spider",1,1,1,1,1,1,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a week",NA,NA,1,1,1,1,1,95.1770391557353,7,NA,NA,FALSE
"CAECUF","f",3870,3871,10.5982203969884,"AI",2,"wheels","spider","wheels",1,1,1,1,1,1,NA,"About once a day",NA,"About once a day",1,1,1,1,1,127.264358746753,10,TRUE,NA,FALSE
"CcXK5V","f",3630,3622,9.91649555099247,"Person",1,"spider","wheels","spider",1,1,1,1,1,4,"coding class at school,after school programs or camps related to coding","Several times a day","Several times a day","Several times a day",1,1,1,1,1,119.078147088799,9,TRUE,TRUE,TRUE
"cFCZPK","m",4950,4964,13.5906913073238,"Person",1,"spider","wheels","spider",1,1,1,1,1,0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)","Several times a day","Never","About once a day",1,1,1,1,1,163.198211526449,13,TRUE,FALSE,FALSE
"CFGJVV","f",1140,1134,3.1047227926078,"Person",4,"wheels","spider","wheels",1,0,0,1,0.333333333333333,2,"no experience with coding","Less than once a week","Several times a day","Several times a day",1,1,1,1,1,37.2817832133346,3,TRUE,TRUE,TRUE
"cFJCJK","f",2490,2499,6.84188911704312,"Person",3,"spider","wheels","spider",1,1,1,1,1,5,"coding class at school","About once a week","Several times a day","Several times a day",1,1,1,1,1,82.1580037479041,6,TRUE,TRUE,TRUE
"CFZAdK","m",1230,1232,3.37303216974675,"AI",4,"wheels","spider","spider",1,1,1,1,1,1,"no experience with coding","About once a week","About once a week","About once a week",1,1,1,1,0,40.5036657132525,3,FALSE,FALSE,FALSE
NA,NA,NA,4591,12.5694729637235,"Person",2,"wheels","spider","wheels",1,1,1,1,1,3,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)","Several times a day","Less than once a week",NA,1,1,1,1,1,150.935332215537,12,NA,FALSE,TRUE
