child__hashed_id,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,child_gender
5TDN53,AI,4,wheels,spider,wheels,1,1,1,1,4.0,no experience with coding,About once a week,About once a day,About once a week,1,1,1,1,1,f
XdAMGC,person,2,wheels,spider,wheels,1,1,1,1,3.0,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1,f
VdA4LW,AI,2,twinkle,twinkle,wheels,1,0,1,0,3.0,no experience with coding,About once a day,Less than once a week,About once a week,0,0,1,0,1,f
D7cM6P,person,1,spider,wheels,spider,0,1,1,1,3.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,About once a day,1,1,0,0,1,f
VR4LYE,person,2,wheels,spider,wheels,1,1,1,1,,coding class at school,About once a day,Never,About once a week,1,1,1,1,1,m
H5HUVK,AI,4,wheels,spider,spider,1,1,1,1,1.0,no experience with coding,Several times a day,Less than once a week,,1,1,1,1,0,f
FEYCW6,person,1,spider,wheels,spider,1,1,1,1,8.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,m
C5HA27,person,1,spider,wheels,spider,1,0,1,1,,,About once a day,Less than once a week,Less than once a week,1,1,1,1,1,f
4XE3KX,person,3,spider,wheels,spider,1,1,1,1,3.0,after school programs or camps related to coding,About once a week,Several times a day,Several times a day,1,1,1,1,1,f
YLAdC4,person,1,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,About once a week,Never,Never,1,1,1,1,1,f
VVcSLZ,AI,3,spider,twinkle,spider,1,0,0,0,2.0,no experience with coding,Never,About once a day,Never,1,0,1,0,1,m
VdRXdD,AI,1,spider,wheels,wheels,0,0,0,0,1.0,no experience with coding,About once a day,About once a week,About once a week,1,1,0,0,0,f
5A2Y2B,person,4,wheels,twinkle,spider,1,1,1,1,1.0,no experience with coding,Less than once a week,Less than once a week,Less than once a week,1,0,1,0,0,f
MM7MHD,AI,2,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,,,,1,1,1,1,1,m
ZPAG2A,person,3,spider,wheels,spider,1,1,1,1,2.0,no experience with coding,Several times a day,About once a week,Never,1,1,1,1,1,f
33NPWV,person,2,wheels,spider,wheels,1,0,1,0,0.0,no experience with coding,Never,Never,Never,1,1,1,1,1,m
KTLJTX,AI,2,wheels,spider,spider,0,1,0,0,1.0,no experience with coding,Less than once a week,Less than once a week,Less than once a week,1,1,0,0,0,f
AWZXWB,person,1,spider,wheels,wheels,0,0,0,0,,,Less than once a week,,Never,1,1,0,0,0,f
PHK3XR,person,2,wheels,spider,wheels,1,1,1,1,2.0,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1,f
PWRD2W,person,3,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,Several times a day,Never,Never,1,1,1,1,1,f
YFE323,AI,1,spider,wheels,spider,1,1,1,1,4.0,no experience with coding,About once a week,About once a week,,1,1,1,1,1,m
EFdd5c,AI,4,wheels,spider,wheels,1,1,1,1,3.0,after school programs or camps related to coding,About once a day,About once a day,About once a day,1,1,1,1,1,
NBR2LE,person,4,wheels,spider,wheels,1,1,1,1,1.0,coding class at school,Less than once a week,Less than once a week,Less than once a week,1,1,1,1,1,m
5EPF77,person,1,spider,wheels,spider,1,1,1,1,,coding class at school,About once a week,Never,Never,1,1,1,1,1,f
RQXQ37,AI,1,spider,wheels,spider,1,1,1,1,2.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,Never,1,1,1,1,1,f
DRTVFR,person,1,spider,wheels,spider,0,1,1,1,,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,0,0,1,f
BVA42Y,person,4,wheels,spider,wheels,1,0,0,0,1.0,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,1,f
