child_id,child_gender,child_age_rounded,age_days,age,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,mean_fb,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,age_months,floor_age,va_daily,ss_daily,multiSSexperience
6WDXTc,m,2160,2157,5.905544148,Person,2,wheels,spider,wheels,1,1,1,1,1,2,,About once a day,About once a day,About once a day,1,1,1,1,1,70.91429135,5,TRUE,TRUE,TRUE
735EB3,f,5460,5248,14.36824093,AI,1,spider,wheels,wheels,1,0,1,1,0.666666667,1,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,0,172.5350955,14,TRUE,TRUE,FALSE
747d4U,f,2040,2033,5.56605065,Person,1,spider,wheels,spider,1,0,0,0,0,0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1,66.8376237,5,FALSE,FALSE,FALSE
75ZW26,m,1620,1615,4.421629021,Person,4,wheels,spider,wheels,1,0,0,0,0,,,Several times a day,,About once a week,1,1,1,1,1,53.09530854,4,FALSE,,
775VNH,m,4890,4878,13.35523614,Person,3,spider,wheels,spider,1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1,160.3708453,13,FALSE,FALSE,FALSE
77P6BR,f,3300,3293,9.015742642,AI,1,spider,wheels,spider,1,1,1,1,1,1,no experience with coding,Less than once a week,About once a week,About once a week,1,1,1,1,1,108.2618273,9,FALSE,FALSE,FALSE
7DNGNA,m,5070,5075,13.89459274,Person,4,wheels,spider,wheels,1,1,1,1,1,0,coding class at school,About once a day,Never,Never,1,1,1,1,1,166.8474866,13,FALSE,FALSE,FALSE
7EBDYc,f,3270,3278,8.97467488,Person,2,wheels,spider,wheels,1,1,1,1,1,0,no experience with coding,,,,1,1,1,1,1,107.768682,8,,,FALSE
7GdZTX,m,5460,5193,14.21765914,AI,4,wheels,spider,wheels,1,1,1,1,1,,,About once a day,,About once a week,1,1,1,1,1,170.7268961,14,FALSE,,
7GKV4Y,m,5670,5662,15.50171116,AI,2,wheels,spider,wheels,1,0,1,1,0.666666667,3,coding class at school,Several times a day,,About once a day,1,1,1,1,1,186.1459053,15,TRUE,,TRUE
,,,2803,7.674195756,Person,3,spider,wheels,spider,1,1,1,1,1,,no experience with coding,Several times a day,About once a day,,1,1,1,1,1,92.15241477,7,,TRUE,
,,,2988,8.180698152,Person,3,spider,wheels,spider,1,1,1,1,1,1,no experience with coding,About once a day,Less than once a week,,1,1,1,1,1,98.2345399,8,,FALSE,FALSE
7YdT45,f,2550,2551,6.984257358,Person,3,spider,wheels,spider,1,1,1,1,1,1,no experience with coding,Several times a day,,,1,1,1,1,1,83.86757405,6,,,FALSE
,,,1121,3.069130732,Person,4,wheels,spider,spider,1,1,0,0,0.333333333,5,no experience with coding,Several times a day,About once a day,,1,1,1,1,0,36.85439064,3,,TRUE,TRUE
ADcDUM,m,3330,3319,9.086926762,AI,3,spider,wheels,spider,1,1,1,1,1,2,no experience with coding,Several times a day,Less than once a week,Never,1,1,1,1,1,109.1166124,9,FALSE,FALSE,TRUE
,,,1215,3.326488706,Person,3,spider,wheels,spider,1,0,1,0,0.333333333,0,no experience with coding,Less than once a week,,,1,1,1,1,1,39.94476773,3,,,FALSE
AEVA5R,f,2610,2610,7.145790554,AI,3,spider,wheels,spider,1,0,0,0,0,2,no experience with coding,About once a day,About once a week,,1,1,1,1,1,85.80727882,7,,FALSE,TRUE
AF6JVZ,m,2490,2491,6.819986311,AI,1,spider,wheels,spider,1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,Never,Never,1,1,1,1,1,81.89499293,6,FALSE,FALSE,FALSE
AHG2DK,m,5700,5710,15.63312799,Person,4,wheels,spider,wheels,1,1,1,1,1,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1,187.7239701,15,TRUE,TRUE,TRUE
,,,3639,9.963039014,AI,4,wheels,spider,wheels,1,1,1,1,1,2,no experience with coding,Several times a day,Less than once a week,,1,1,1,1,1,119.6370451,9,,FALSE,TRUE
ARMW2Y,m,3900,3900,10.67761807,Person,1,spider,wheels,spider,1,1,1,1,1,,,Several times a day,,About once a week,1,1,1,1,1,128.217773,10,FALSE,,
,,,2034,5.568788501,AI,3,spider,wheels,spider,1,0,0,0,0,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,,1,1,1,1,1,66.87050005,5,,FALSE,TRUE
AVEH25,f,5460,5078,13.9028063,Person,1,spider,wheels,spider,1,1,1,1,1,,,About once a day,About once a day,About once a day,1,1,1,1,1,166.9461157,13,TRUE,TRUE,
,,,5078,13.9028063,AI,1,spider,wheels,spider,1,1,1,1,1,1,no experience with coding,Several times a day,Less than once a week,,1,1,1,1,1,166.9461157,13,,FALSE,FALSE
AZQZZJ,f,3480,3476,9.516769336,Person,3,spider,wheels,spider,1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,Never,Never,1,1,1,1,1,114.2781997,9,FALSE,FALSE,FALSE
B47FdD,m,3990,3977,10.88843258,AI,2,wheels,spider,wheels,1,1,1,1,1,1,coding class at school,Several times a day,About once a day,Several times a day,1,1,1,1,1,130.7492521,10,TRUE,TRUE,FALSE
CPcQFY,f,4470,2523,6.907597536,Person,2,wheels,spider,wheels,1,1,1,1,1,1,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1,82.9470362,6,TRUE,TRUE,FALSE
B7TKT6,f,5040,5042,13.80424367,AI,2,wheels,spider,wheels,1,1,1,1,1,,,About once a week,,About once a week,1,1,1,1,1,165.762567,13,FALSE,,
