age_days,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1
4563,AI,2,wheels,spider,wheels,1,1,1,1,0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,NA,NA,1,1,1,1,1
3612,Person,4,wheels,spider,wheels,1,1,1,1,5,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
3609,AI,3,spider,wheels,spider,1,1,1,1,0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a week,1,1,1,1,1
2596,AI,2,wheels,spider,wheels,1,1,1,1,2,no experience with coding,About once a day,Several times a day,Several times a day,1,1,1,1,1
2620,AI,2,wheels,spider,wheels,1,1,1,1,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a week,About once a day,1,1,1,1,1
2836,Person,2,wheels,spider,spider,1,1,1,1,3,no experience with coding,Never,About once a day,Never,1,1,1,1,0
1297,AI,4,wheels,spider,wheels,1,1,1,0,1,no experience with coding,Less than once a week,About once a day,About once a day,1,1,1,1,1
2618,Person,3,spider,wheels,spider,1,1,1,1,3,no experience with coding,Several times a day,About once a week,About once a week,1,1,1,1,1
3234,Person,3,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a day,About once a day,Never,1,1,1,1,1
2410,AI,2,wheels,spider,wheels,1,0,0,1,1,coding class at school,Several times a day,Never,About once a day,1,1,1,1,1
3157,AI,3,spider,wheels,spider,1,1,1,1,1,coding class at school,Several times a day,About once a week,About once a week,1,1,1,1,1
1758,AI,2,wheels,spider,spider,1,1,1,1,2,no experience with coding,Never,Never,Never,1,1,1,1,0
2760,Person,1,spider,wheels,spider,1,1,1,1,3,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,1
3862,AI,3,spider,wheels,wheels,1,1,1,1,1,coding class at school,About once a week,Never,Several times a day,1,1,1,1,0
2354,AI,2,wheels,spider,wheels,1,1,0,1,1,no experience with coding,Less than once a week,Less than once a week,NA,1,1,1,1,1
5522,AI,1,spider,wheels,spider,1,1,1,1,2,no experience with coding,Several times a day,About once a week,NA,1,1,1,1,1
4308,Person,4,wheels,spider,wheels,1,1,1,1,0,coding class at school,Several times a day,Never,Several times a day,1,1,1,1,1
5137,AI,2,wheels,spider,wheels,1,1,1,0,1,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
3092,Person,4,wheels,spider,wheels,1,1,1,1,0,coding class at school,Less than once a week,Never,Never,1,1,1,1,1
3448,AI,4,wheels,spider,wheels,1,1,1,1,3,after school programs or camps related to coding,About once a day,About once a day,About once a day,1,1,1,1,1
2024,Person,1,spider,wheels,spider,1,0,0,0,2,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1
2681,AI,3,spider,wheels,spider,1,0,0,0,3,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1
4748,Person,2,wheels,spider,wheels,1,1,1,1,0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Never,NA,NA,1,1,1,1,1
3486,Person,3,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,About once a day,About once a day,1,1,1,1,1
3875,Person,1,spider,wheels,spider,1,1,1,1,0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1
1332,Person,2,wheels,spider,wheels,1,1,1,0,NA,no experience with coding,About once a week,Less than once a week,NA,1,1,1,1,1
4631,Person,2,wheels,spider,wheels,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
4631,Person,1,spider,wheels,spider,1,1,1,1,2,"coding class at school,after school programs or camps related to coding",Several times a day,NA,About once a day,1,1,1,1,1
5813,Person,4,wheels,spider,wheels,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,NA,NA,1,1,1,1,1
3259,AI,1,spider,wheels,spider,1,1,1,1,1,coding class at school,Less than once a week,Less than once a week,Several times a day,1,1,1,1,1
4408,Person,1,spider,wheels,spider,1,1,1,1,8,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1
1593,Person,1,spider,wheels,spider,1,1,1,1,NA,no experience with coding,About once a day,Never,NA,1,1,1,1,1
2561,AI,4,wheels,spider,wheels,1,1,1,1,2,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1
4532,Person,4,wheels,spider,wheels,1,1,1,1,6,coding class at school,Several times a day,Several times a day,About once a day,1,1,1,1,1
