age_days,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1
5144,AI,3,spider,wheels,spider,1,1,1,1,4,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1
2796,AI,1,spider,wheels,spider,1,1,1,1,1,coding class at school,Several times a day,About once a week,NA,1,1,1,1,1
3143,AI,4,wheels,spider,wheels,1,1,1,1,1,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,NA,Several times a day,1,1,1,1,1
4283,AI,4,wheels,spider,spider,1,1,1,1,1,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,Several times a day,1,1,1,1,0
3838,AI,4,wheels,spider,wheels,1,1,1,1,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1
4427,Person,1,spider,wheels,spider,1,1,1,1,0,after school programs or camps related to coding,About once a week,Never,NA,1,1,1,1,1
4233,AI,3,spider,wheels,spider,1,1,1,1,3,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a week,About once a day,1,1,1,1,1
3299,Person,1,spider,wheels,spider,1,1,1,1,3,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1
5628,AI,3,spider,wheels,wheels,1,1,1,1,NA,NA,Several times a day,Never,About once a day,1,1,1,1,0
1915,Person,3,spider,wheels,spider,1,1,1,1,0,no experience with coding,Never,Less than once a week,Never,1,1,1,1,1
2655,Person,3,spider,wheels,spider,1,1,1,1,NA,NA,About once a day,Never,Never,1,1,1,1,1
2339,Person,3,spider,wheels,spider,1,1,1,1,NA,no experience with coding,About once a day,NA,NA,1,1,1,1,1
1219,Person,1,spider,wheels,spider,1,0,0,1,3,no experience with coding,Several times a day,Less than once a week,NA,1,1,1,1,1
1178,AI,3,spider,wheels,spider,1,0,0,1,3,no experience with coding,Several times a day,Less than once a week,NA,1,1,1,1,1
4148,AI,3,spider,wheels,spider,1,1,1,1,NA,NA,About once a day,NA,About once a day,1,1,1,1,1
