"child__hashed_id","age_days","child_gender","condition","counterbalance","attn1","attn2","pass_attn1","pass_attn2","test","chose_song_1","carrie_diverse_desire","rachel_false_belief","diana_false_belief","allie_false_belief","num_speakers","smart_speaker_frequency"
"HBWDcR",3210,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,4,"Less than once a week"
"HX2GJ6",3542,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"About once a day"
"J33Q67",1454,"m","AI",3,"spider","wheels",1,1,"wheels",0,1,0,0,0,NA,NA
"J3RPUM",3936,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,3,"Several times a day"
"J6DT2K",4570,"m","Person",4,"twinkle","spider",0,1,"wheels",1,1,1,1,1,NA,"Several times a day"
"J6GS2X",5636,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,5,"Several times a day"
"J7d7Ed",4560,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,"Never"
"JFd4LQ",3133,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Less than once a week"
"JKQG2U",4731,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a week"
"K6FCZV",3526,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a week"
"K6SSNX",1106,"f","Person",3,"twinkle","twinkle",0,0,"wheels",0,0,0,0,0,2,"Less than once a week"
"K73D3S",1861,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,0,0,6,"About once a day"
"K7GP2d",5337,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,NA
"K7R7CV",2564,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,0,0,2,NA
"K7YdLP",5632,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"KBQDD5",2703,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"KE3Z6Z",3811,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,NA
"KE6McV",4019,"f","AI",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,5,"About once a day"
"KHRJM7",3818,"m","AI",4,"wheels","spider",1,1,"spider",0,1,1,1,1,4,"Several times a day"
"KLdCX3",4261,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"KMUTBA",2795,"f","Person",1,"spider","wheels",1,1,"wheels",0,1,1,1,1,0,NA
"KN4QXT",1879,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"About once a week"
"KPRDT6",3483,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"KRLDTE",4334,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,"Never"
"KTLJTX",1135,"f","AI",2,"wheels","spider",1,1,"spider",0,0,1,0,0,1,"Less than once a week"
"KU6RG5",2472,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"KYNWJ7",3410,"f","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,0,NA,NA
"Kc6RMY",3342,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Never"
"KdTKRC",5738,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Less than once a week"
"L6BNGd",1436,"m","Person",2,"wheels","spider",1,1,"spider",0,0,1,1,1,4,"Several times a day"
"LA3QLT",4773,"f","AI",1,"spider","wheels",1,1,"wheels",0,1,1,1,1,4,"Several times a day"
"LCDQES",1518,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,"Less than once a week"
"LFC354",1109,"f","Person",4,"wheels","spider",1,1,"wheels",1,0,0,0,1,4,"Less than once a week"
"LKJRX3",2959,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,NA
"LKKFPd",2390,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,NA
"LN6TPF",4340,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"LRAUYL",2024,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,2,"About once a day"
"LRCNHV",5426,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,"Never"
"LUQK5d",1350,"f","AI",1,"spider","wheels",1,1,"wheels",0,1,1,0,0,0,NA
"LZWTJC",4140,"m","AI",2,"wheels","spider",1,1,"spider",0,1,1,1,1,1,"About once a day"
"LdNK4E",3091,"m","AI",1,"spider","twinkle",1,0,"spider",1,1,1,1,1,0,"Never"
